序号,贴图名称,对应内容/装备,尺寸(宽×高),英文生成提示词
58,Projectiles/VoidLashProjectile.png,虚空鞭｜弹幕,28x28,"A detailed void whip lash (虚空鞭). This is a flying projectile drawn mid-motion: it looks fast and alive — streaking motion lines, a glowing energy trail behind it, and small spark/particle embers radiating off its surface, conveying speed and direction.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 28x28 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
59,Buffs/VoidWispBuff.png,虚空小精灵｜增益/减益图标,32x32,"A detailed void wisp buff icon (虚空小精灵). This is a square status-icon: one bold symbolic shape (eye, claw, wisp, orb, flame), simple and readable at small size, subtle inner glow and dark vignette.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 32x32 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
60,Tiles/VoidForgeTile_Highlight.png,虚空锻炉｜高亮描边（选中）｜可放置方块,48x48,"A detailed void forge tile (虚空锻炉). This is a selection-highlight overlay: a crisp bright wireframe silhouette tracing the tile's outer edges, thin luminous line with a subtle inner glow, exactly matching the tile outline, semi-transparent.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the image MUST completely fill the 48x48 canvas edge-to-edge with zero margins (full bleed) so it tiles perfectly; the tile pattern continues to the very borders.  There is no separate background — the tile itself covers the whole image.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
61,Tiles/VoidForgeTile.png,虚空锻炉｜可放置方块,48x48,"A detailed void forge tile (虚空锻炉). This is a placeable tile block texture: a single top-down tile with a clearly defined shape, seamless edges that connect to neighboring identical tiles, depth and surface texture.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the image MUST completely fill the 48x48 canvas edge-to-edge with zero margins (full bleed) so it tiles perfectly; the tile pattern continues to the very borders.  There is no separate background — the tile itself covers the whole image.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
62,Tiles/VoidTableTile.png,虚空桌｜可放置方块,16x32,"A detailed void table tile (虚空桌). This is a placeable tile block texture: a single top-down tile with a clearly defined shape, seamless edges that connect to neighboring identical tiles, depth and surface texture.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the image MUST completely fill the 16x32 canvas edge-to-edge with zero margins (full bleed) so it tiles perfectly; the tile pattern continues to the very borders.  There is no separate background — the tile itself covers the whole image.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
63,Tiles/VoidChairTile.png,虚空椅｜可放置方块,16x32,"A detailed void chair tile (虚空椅). This is a placeable tile block texture: a single top-down tile with a clearly defined shape, seamless edges that connect to neighboring identical tiles, depth and surface texture.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the image MUST completely fill the 16x32 canvas edge-to-edge with zero margins (full bleed) so it tiles perfectly; the tile pattern continues to the very borders.  There is no separate background — the tile itself covers the whole image.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
64,Items/Materials/VoidCore.png,虚空核心｜物品图标,20x20,"A detailed void core gem (虚空核心). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 20x20 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
65,Items/Materials/VoidSigil.png,虚空印记｜物品图标,20x20,"A detailed void sigil summoning item (虚空印记). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 20x20 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
66,Items/Furniture/VoidForgeItem.png,虚空锻炉｜物品图标,30x30,"A detailed void forge crafting station (虚空锻炉). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 30x30 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
67,Items/Furniture/VoidTableItem.png,虚空桌｜物品图标,20x20,"A detailed void table (虚空桌). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 20x20 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
68,Items/Furniture/VoidChairItem.png,虚空椅｜物品图标,20x20,"A detailed void chair (虚空椅). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 20x20 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
69,NPCs/VoidWatcher.png,虚空守望者｜敌人/Boss,128x128,"A detailed Void Watcher (boss, twin-phase watcher) (虚空守望者). This is a full-body creature/enemy/boss in side view: dynamic menacing pose, distinct readable silhouette, limbs/claws/fins/tentacles clearly separated, expressive eyes if any, menace and detail in equal measure.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 128x128 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
70,NPCs/VoidWatcher_Head_Boss.png,虚空守望者｜Boss 地图头像｜敌人/Boss,26x26,"A detailed Void Watcher (boss, twin-phase watcher) (虚空守望者). This is a circular boss map icon: a front-facing portrait bust of the creature's head/face, bold and readable at tiny size, framed by an ominous energy aura, face centered, horns/eyes/teeth clearly visible.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 26x26 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
71,NPCs/VoidBlacksmith_Head.png,虚影铁匠｜城镇NPC｜装备外观 头,40x40,"A detailed void blacksmith town NPC (虚影铁匠). This is a helmet/head armor piece worn on the player character: front-facing, flat game-equip style with no drop shadow and no perspective, shaped to wrap the body part naturally, armored plating with glowing seams.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Important: this is exactly ONE single animation frame of a town NPC — the image height must be only ONE frame tall (56 px, i.e. a 40x56 single cell, NOT the full 1400 px sprite sheet; I will assemble the sheet myself). The character stands upright and centered, facing slightly toward the viewer, feet near the bottom edge.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
72,NPCs/VoidAstrologer_Head.png,归墟占星师｜城镇NPC｜装备外观 头,40x40,"A detailed void astrologer town NPC (归墟占星师). This is a helmet/head armor piece worn on the player character: front-facing, flat game-equip style with no drop shadow and no perspective, shaped to wrap the body part naturally, armored plating with glowing seams.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Important: this is exactly ONE single animation frame of a town NPC — the image height must be only ONE frame tall (56 px, i.e. a 40x56 single cell, NOT the full 1400 px sprite sheet; I will assemble the sheet myself). The character stands upright and centered, facing slightly toward the viewer, feet near the bottom edge.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
73,Tiles/VoidChestTile.png,虚空箱｜可放置方块,72x38,"A detailed void chest tile (虚空箱). This is a placeable tile block texture: a single top-down tile with a clearly defined shape, seamless edges that connect to neighboring identical tiles, depth and surface texture.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the image MUST completely fill the 72x38 canvas edge-to-edge with zero margins (full bleed) so it tiles perfectly; the tile pattern continues to the very borders.  There is no separate background — the tile itself covers the whole image.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
74,Tiles/VoidChestTile_Highlight.png,虚空箱｜高亮描边（选中）｜可放置方块,72x38,"A detailed void chest tile (虚空箱). This is a selection-highlight overlay: a crisp bright wireframe silhouette tracing the tile's outer edges, thin luminous line with a subtle inner glow, exactly matching the tile outline, semi-transparent.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the image MUST completely fill the 72x38 canvas edge-to-edge with zero margins (full bleed) so it tiles perfectly; the tile pattern continues to the very borders.  There is no separate background — the tile itself covers the whole image.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
75,Tiles/VoidBedTile.png,虚空床｜可放置方块,144x38,"A detailed void bed tile (虚空床). This is a placeable tile block texture: a single top-down tile with a clearly defined shape, seamless edges that connect to neighboring identical tiles, depth and surface texture.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the image MUST completely fill the 144x38 canvas edge-to-edge with zero margins (full bleed) so it tiles perfectly; the tile pattern continues to the very borders.  There is no separate background — the tile itself covers the whole image.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
76,Tiles/VoidBedTile_Highlight.png,虚空床｜高亮描边（选中）｜可放置方块,144x38,"A detailed void bed tile (虚空床). This is a selection-highlight overlay: a crisp bright wireframe silhouette tracing the tile's outer edges, thin luminous line with a subtle inner glow, exactly matching the tile outline, semi-transparent.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the image MUST completely fill the 144x38 canvas edge-to-edge with zero margins (full bleed) so it tiles perfectly; the tile pattern continues to the very borders.  There is no separate background — the tile itself covers the whole image.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
77,Tiles/VoidLampTile.png,虚空灯｜可放置方块,18x38,"A detailed void lamp tile (虚空灯). This is a placeable tile block texture: a single top-down tile with a clearly defined shape, seamless edges that connect to neighboring identical tiles, depth and surface texture.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the image MUST completely fill the 18x38 canvas edge-to-edge with zero margins (full bleed) so it tiles perfectly; the tile pattern continues to the very borders.  There is no separate background — the tile itself covers the whole image.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
78,Tiles/VoidCandelabraTile.png,虚空烛台｜可放置方块,36x38,"A detailed void candelabra tile (虚空烛台). This is a placeable tile block texture: a single top-down tile with a clearly defined shape, seamless edges that connect to neighboring identical tiles, depth and surface texture.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the image MUST completely fill the 36x38 canvas edge-to-edge with zero margins (full bleed) so it tiles perfectly; the tile pattern continues to the very borders.  There is no separate background — the tile itself covers the whole image.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
79,Items/Furniture/VoidChestItem.png,虚空箱｜物品图标,20x20,"A detailed void chest (虚空箱). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 20x20 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
80,Items/Furniture/VoidBedItem.png,虚空床｜物品图标,20x20,"A detailed void bed (虚空床). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 20x20 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
81,Items/Furniture/VoidLampItem.png,虚空灯｜物品图标,20x20,"A detailed void lamp (虚空灯). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 20x20 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
82,Items/Furniture/VoidCandelabraItem.png,虚空烛台｜物品图标,20x20,"A detailed void candelabra (虚空烛台). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 20x20 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
83,Items/Materials/AbyssScale.png,深渊鳞片｜物品图标,20x20,"A detailed abyssal scale (深渊鳞片). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: deep teal and emerald abyss palette, bioluminescent green glow, dripping organic textures, slimy highlights, murky depth gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 20x20 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
84,Items/Materials/VoidLordShard.png,归墟碎晶｜物品图标,22x22,"A detailed void lord shard crystal (归墟碎晶). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: dark violet and gold palette, ominous void-lord aura, faint gold filigree, pulsing purple energy core, regal menace. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 22x22 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
85,Items/Consumables/AbyssalBait.png,深渊之饵｜物品图标,20x20,"A detailed abyssal bait lure (深渊之饵). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: deep teal and emerald abyss palette, bioluminescent green glow, dripping organic textures, slimy highlights, murky depth gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 20x20 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
86,Items/Consumables/VoidLordSigil.png,归墟王印｜物品图标,20x20,"A detailed void lord sigil (归墟王印). This is a game item icon viewed from a slight three-quarter angle: centered, crisp readable silhouette, clear material shading.  Visual style: dark violet and gold palette, ominous void-lord aura, faint gold filigree, pulsing purple energy core, regal menace. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 20x20 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
87,NPCs/AbyssalTentacle.png,深渊触手｜敌人/Boss,26x26,"A detailed abyssal tentacle (深渊触手). This is a full-body creature/enemy/boss in side view: dynamic menacing pose, distinct readable silhouette, limbs/claws/fins/tentacles clearly separated, expressive eyes if any, menace and detail in equal measure.  Visual style: deep teal and emerald abyss palette, bioluminescent green glow, dripping organic textures, slimy highlights, murky depth gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 26x26 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
88,NPCs/VoidWalker.png,归墟行者｜敌人/Boss,30x30,"A detailed void walker wraith (归墟行者). This is a full-body creature/enemy/boss in side view: dynamic menacing pose, distinct readable silhouette, limbs/claws/fins/tentacles clearly separated, expressive eyes if any, menace and detail in equal measure.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 30x30 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
89,NPCs/AbyssalWurmHead.png,深渊蠕虫｜敌人/Boss,28x28,"A detailed abyssal wurm head (boss) (深渊蠕虫). This is a full-body creature/enemy/boss in side view: dynamic menacing pose, distinct readable silhouette, limbs/claws/fins/tentacles clearly separated, expressive eyes if any, menace and detail in equal measure.  Visual style: deep teal and emerald abyss palette, bioluminescent green glow, dripping organic textures, slimy highlights, murky depth gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 28x28 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
90,NPCs/AbyssalWurmBody.png,深渊蠕虫｜敌人/Boss,26x26,"A detailed abyssal wurm body segment (深渊蠕虫). This is a full-body creature/enemy/boss in side view: dynamic menacing pose, distinct readable silhouette, limbs/claws/fins/tentacles clearly separated, expressive eyes if any, menace and detail in equal measure.  Visual style: deep teal and emerald abyss palette, bioluminescent green glow, dripping organic textures, slimy highlights, murky depth gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 26x26 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
91,NPCs/AbyssalWurmTail.png,深渊蠕虫｜敌人/Boss,24x24,"A detailed abyssal wurm tail (深渊蠕虫). This is a full-body creature/enemy/boss in side view: dynamic menacing pose, distinct readable silhouette, limbs/claws/fins/tentacles clearly separated, expressive eyes if any, menace and detail in equal measure.  Visual style: deep teal and emerald abyss palette, bioluminescent green glow, dripping organic textures, slimy highlights, murky depth gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 24x24 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
92,NPCs/VoidLord.png,归墟领主｜敌人/Boss,120x120,"A detailed Void Lord (boss, cosmic void overlord) (归墟领主). This is a full-body creature/enemy/boss in side view: dynamic menacing pose, distinct readable silhouette, limbs/claws/fins/tentacles clearly separated, expressive eyes if any, menace and detail in equal measure.  Visual style: dark violet and gold palette, ominous void-lord aura, faint gold filigree, pulsing purple energy core, regal menace. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 120x120 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
93,NPCs/AbyssalWurmHead_Head_Boss.png,深渊蠕虫｜Boss 地图头像｜敌人/Boss,26x26,"A detailed abyssal wurm head (boss) (深渊蠕虫). This is a circular boss map icon: a front-facing portrait bust of the creature's head/face, bold and readable at tiny size, framed by an ominous energy aura, face centered, horns/eyes/teeth clearly visible.  Visual style: deep teal and emerald abyss palette, bioluminescent green glow, dripping organic textures, slimy highlights, murky depth gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 26x26 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
